title,authors,journal,doi,all_authors,openalex_id
Long-term fertilization regimes modulate dissolved organic matter molecular chemodiversity and greenhouse gas emissions in paddy soil,"Yuanyuan Sun, Weiming Zhang, Liqun Xiu, ... , Wenfu Chen (n=7)",Biochar,https://doi.org/10.1007/s42773-025-00445-3,Yuanyuan Sun; Weiming Zhang; Liqun Xiu; Wenqi Gu; Di Wu; Liang Tang; Wenfu Chen,https://openalex.org/W4408094762
Molecular composition of dissolved organic matter in soil leachate following application of surface agricultural practices and its implications for groundwater,"Jie Dong, Linna Jia, Haoran Wu, ... , Jia Xin (n=7)",Biogeochemistry,https://doi.org/10.1007/s10533-025-01249-0,Jie Dong; Linna Jia; Haoran Wu; Hang Fu; Wenlin Ren; Kang Yue; Jia Xin,https://openalex.org/W4412645277
Mechanism of biomass driving microbial community assembly in eco-engineering bauxite residues: Based on molecular traits of dissolved organic matter,"Guizhen Wang, Aiju Liu, Yunna Wang, ... , Peng Fu (n=11)",Bioresource Technology,https://doi.org/10.1016/j.biortech.2025.133601,Guizhen Wang; Aiju Liu; Yunna Wang; Guoqin Hou; Fangshuo Zhang; Jing Liu; Zafran Gul Wazir; Yuzhi Xu; Kai Liu; Hongliang Liu; Peng Fu,https://openalex.org/W4415891843
Synergistic Bacillus-woody peat bio-composting enhances dissolved organic matter transformation and cucumber growth,"Jiyu Xie, Yi Ren, Taimeng Tan, ... , Zhihui Xu (n=12)",Bioresource Technology,https://doi.org/10.1016/j.biortech.2025.133556,Jiyu Xie; Yi Ren; Taimeng Tan; Lili Tao; Xinli Sun; Lihao Chen; Wen Yu; Xiaojian Yu; Ruifu Zhang; Qirong Shen; Jianchao Zhang; Zhihui Xu,https://openalex.org/W4415546187
Fate of dissolved organic matter in thermal hydrolysis pretreatment aided autothermal thermophilic aerobic digestion of high solid sludge,"Ruming Wang, Yangyang Liu, Jinwen Hu, ... , Nanwen Zhu (n=6)",Bioresource Technology,https://doi.org/10.1016/j.biortech.2025.132246,Ruming Wang; Yangyang Liu; Jinwen Hu; Chunxing Li; Haiping Yuan; Nanwen Zhu,https://openalex.org/W4407607362
"Dissolved Organic Matter Composition and Environmental Characteristics of Lakes Across a Permafrost Gradient, Northwest Territories, Canada","H.S. Hutchins, Ryan, G. Leathers, Jeremy, Schiff, Sherry, ... , Aukes, Pieter Jan Karel (n=9)",Borealis,https://doi.org/10.5683/sp3/5owkls,"H.S. Hutchins, Ryan; G. Leathers, Jeremy; Schiff, Sherry; English, Michael; Schultz, Mackenzie; J. Venkiteswaran, Jason; Tank, Suzanne; Elgood, Richard; Aukes, Pieter Jan Karel",https://openalex.org/W7116122844
Spatial distribution of composition and chemodiversity of surface water dissolved organic matter (DOM) over the upper reach of the Changjiang River,"Shujun Yin, Chenhui Wei, Yafang Liu, Dongqiang Zhu",Carbon Research,https://doi.org/10.1007/s44246-025-00223-7,Shujun Yin; Chenhui Wei; Yafang Liu; Dongqiang Zhu,https://openalex.org/W4413231295
PHB/PBAT blended melt-blown micro-nano fiber carbon source for efficient solid-phase denitrification: Insights into low-carbon treatment and enhanced mechanism,"Hao Yuan, Liang Tang, Ziwei Yang, ... , Shiyang Li (n=10)",Chemical Engineering Journal,https://doi.org/10.1016/j.cej.2025.165128,Hao Yuan; Liang Tang; Ziwei Yang; Xiaodong Pi; Jinxiang Zhao; R.C. Luo; Tang Ming; Zuwen Liu; Zhendong Lei; Shiyang Li,https://openalex.org/W4411450368
Reduction of halogenated byproduct formation during ozone-based advanced oxidation of shale gas produced water by selective oxidation and pre-oxidation,"Hualiang Feng, Yani Lai, Wenlong Mao, Zhaoji Zhang",Chemical Engineering Journal,https://doi.org/10.1016/j.cej.2025.171911,Hualiang Feng; Yani Lai; Wenlong Mao; Zhaoji Zhang,https://openalex.org/W7115561983
Ultrasound-driven centralized reactor strategy for enhanced sludge valorization: From cavitation field regulation to sustainable resource recovery,"Qinqin Liu, Kang Hou, Yali Jiang, ... , Qing Tian (n=8)",Chemical Engineering Journal,https://doi.org/10.1016/j.cej.2025.168532,Qinqin Liu; Kang Hou; Yali Jiang; Y P Tian; Yu Lu; Bo Yang; Fang Li; Qing Tian,https://openalex.org/W4414311588
A novel approach to healthy water Treatment: Boiling-Based UV photoelectrochemical oxidation process for the removal of disinfection by-products from drinking water,"Xingxing Huang, Yujie Ao, Hao‐Cheng Yang, ... , Jinsuo Lu (n=8)",Chemical Engineering Journal,https://doi.org/10.1016/j.cej.2025.163658,Xingxing Huang; Yujie Ao; Hao‐Cheng Yang; Muyu Feng; Xuan Wang; Rui Chen; Qing Yang; Jinsuo Lu,https://openalex.org/W4410299726
Dissolved organic matter as a promoter of U(VI) reduction during ferrihydrite transformation: Implications for uranium sequestration,"Yang Ding, Xiahan Zuo, Xixian Huang, ... , Dexin Ding (n=7)",Chemical Engineering Journal,https://doi.org/10.1016/j.cej.2025.172353,Yang Ding; Xiahan Zuo; Xixian Huang; Hui Zhang; Feng Li; Jianhong Ma; Dexin Ding,https://openalex.org/W7117451962
Investigation on the mechanism of dissolved organic matter degradation in printing and dyeing wastewater by plasma-treated La0.5Sr0.5CoO3-δ activating persulfate,"Yang Yang, Jingyuan Wang, Tong Xu, Bin Zhu, Xiaomin Zhang",Chemical Engineering Journal,https://doi.org/10.1016/j.cej.2025.164831,Yang Yang; Jingyuan Wang; Tong Xu; Bin Zhu; Xiaomin Zhang,https://openalex.org/W4411290001
Extended Inter-laboratory Characterization of the New Coastal Seawater Dissolved Organic Matter Reference Material TRM-0522,"Alexander J. Craig, Lydia Babcock‐Adams, Maxime C. Bridoux, ... , Jeffrey A. Hawkes (n=17)",ChemRxiv,https://doi.org/10.26434/chemrxiv-2025-1232j,Alexander J. Craig; Lydia Babcock‐Adams; Maxime C. Bridoux; Christian Le Brun; Juliana D’Andrilli; Aleksandar I. Goranov; Patrick G. Hatcher; Oliver J. Lechtenfeld; Hang Li; Rebecca Rodrigues Matos; Garrett McKay; Amy M. McKenna; Madelyn Miller; Sasha Wagner; Margot E. White; Alexander Zherebker; Jeffrey A. Hawkes,https://openalex.org/W4414333109
Improvement of Electrospray Ionization Response Linearity and Quantification in Dissolved Organic Matter using Synthetic Deuterated Internal Standards,"Alexander J. Craig, Mustapha Adekomi Ganiyu, Lindon W. K. Moodie, ... , Jeffrey A. Hawkes (n=8)",ChemRxiv,https://doi.org/10.26434/chemrxiv-2025-6wm8s,Alexander J. Craig; Mustapha Adekomi Ganiyu; Lindon W. K. Moodie; Sofja Tshepelevitsh; Koit Herodes; Heike Simon; Thorsten Dittmar; Jeffrey A. Hawkes,https://openalex.org/W4408500993
Exploring the Chemical Space of Dissolved Organic Matter using FT-ICR MS with Multi-Source Network Traversal,"Jibao Liu, Rongjun Gao, Mohamed Elsamadony, ... , Manabu Fujii (n=10)",ChemRxiv,https://doi.org/10.26434/chemrxiv-2025-9s13m,Jibao Liu; Rongjun Gao; Mohamed Elsamadony; Dilhani Senevinanda; Kushani Dilinika; Yuheng Gu; Supaporn Klabklaydee; Qing‐Long Fu; Eunsang Kwon; Manabu Fujii,https://openalex.org/W4416459667
Environmental and microbial factors shape dissolved organic matter across multiple ecosystems,"Bixi Guo, Yongqin Liu, Jianjun Wang, ... , Nianzhi Jiao (n=7)",Communications Earth & Environment,https://doi.org/10.1038/s43247-025-02848-3,Bixi Guo; Yongqin Liu; Jianjun Wang; Qiang Zheng; Quan Shi; Chen He; Nianzhi Jiao,https://openalex.org/W4416334474
Transformation characteristics of dissolved organic matter in ozone treatment unit of wastewater plants,"Wanli Zhang, Cheng Fangkui, Jinglin Zhu",DOAJ (DOAJ: Directory of Open Access Journals),https://doi.org/10.19965/j.cnki.iwt.2024-0438,Wanli Zhang; Cheng Fangkui; Jinglin Zhu,https://openalex.org/W7155513564
Separation and removal characteristics of pollutants in coagulation process of asphalt production wastewater,"Yue Cao, Shuai Zhu, JIANG Juntao, ... , XU Chunming (n=7)",DOAJ (DOAJ: Directory of Open Access Journals),https://doi.org/10.19965/j.cnki.iwt.2024-0715,Yue Cao; Shuai Zhu; JIANG Juntao; Z C Li; WANG Qinghong; C Chen; XU Chunming,https://openalex.org/W7155518192
Comprehensive effects of lake dredging on microbial community and dissolved organic matter compositions in surface sediments,"Hezhou Chen, Shaozhuang Guo, Songhe Zhang, ... , Jicheng Zhong (n=8)",Ecological Indicators,https://doi.org/10.1016/j.ecolind.2025.113566,Hezhou Chen; Shaozhuang Guo; Songhe Zhang; Yongsheng Tang; Tilang Zhang; Xin Lv; Dejin Wang; Jicheng Zhong,https://openalex.org/W4410109165
Scale Formation from Dissolved Organic Matter in SAGD Steam Generators─Part I: Acidic Species Characterized by FTICR-MS,"Ali Naderi, Thomas B. P. Oldenburg",Energy & Fuels,https://doi.org/10.1021/acs.energyfuels.5c01778,Ali Naderi; Thomas B. P. Oldenburg,https://openalex.org/W4411571928
Molecular mechanistic insights towards aggregation of nano-biochar moderated by aromatic components in dissolved organic matter,"Zheng Zhou, Meng Lu, Yu Huang, ... , Bo Pan (n=10)",Environment International,https://doi.org/10.1016/j.envint.2025.109350,Zheng Zhou; Meng Lu; Yu Huang; Zhao Changping; Yafeng Wang; Marc Pidou; Min Wu; Quan Chen; Paul Jeffrey; Bo Pan,https://openalex.org/W4407902453
GRSP-induced diversity change of dissolved organic matter enhances the availability of PAHs in soil,"Xian Zhou, Pengfei Li, Fredrick Owino Gudda, ... , Jian Wang (n=7)",Environmental Pollution,https://doi.org/10.1016/j.envpol.2025.126858,Xian Zhou; Pengfei Li; Fredrick Owino Gudda; Chao Qin; Ahmed Mosa; Wanting Ling; Jian Wang,https://openalex.org/W4412555582
Benthic biofilms as reservoirs of recalcitrant organic matter in freshwater reservoirs: insights from FT-ICR MS,"Ch. Tahir Mehmood, Yujian Dong, Huiyu Liu, ... , Olivier Habimana (n=8)",Environmental Research,https://doi.org/10.1016/j.envres.2025.122945,Ch. Tahir Mehmood; Yujian Dong; Huiyu Liu; Yu Han; Yan Wang; Yiwei Li; Yeyuan Xiao; Olivier Habimana,https://openalex.org/W4414502281
Microbial transformation of sulfur-containing dissolved organic matter in the intertidal zone of a mountainous river estuary responding to tidal fluctuation,"Longfei Wang, Guosheng Zhao, Weidong Guo, ... , Lihua Niu (n=6)",Environmental Research,https://doi.org/10.1016/j.envres.2025.121363,Longfei Wang; Guosheng Zhao; Weidong Guo; Yi Li; Jiaying Chen; Lihua Niu,https://openalex.org/W4408268097
Microbial processes dominate DOM degradation in alpine karst lakes over photochemical effects,"Qinqin You, Hanyong Zeng, Muhammad Ibrar, ... , Geng Sun (n=9)",Environmental Research,https://doi.org/10.1016/j.envres.2025.121812,Qinqin You; Hanyong Zeng; Muhammad Ibrar; Dalin Zhu; Demeng Zhao; Yutao Cao; Yunde Zhang; Yanbao Lei; Geng Sun,https://openalex.org/W4410220242
Unveiling the molecular composition of dissolved organic phosphorus in the freshwater-estuarine continuum using ultrahigh-resolution FT-ICR-MS,"Yanjiao Zhou, Liyang Yang, Fu‐Tao Fang, ... , ⎜Zhuoyi Zhu (n=6)",Environmental Research,https://doi.org/10.1016/j.envres.2025.123352,Yanjiao Zhou; Liyang Yang; Fu‐Tao Fang; Yuqing Li; Wan-E Zhuang; ⎜Zhuoyi Zhu,https://openalex.org/W4416416777
Molecular Alteration of Dissolved Organic Matter in Intertidal Sediments: The Role of Fe(II) Reoxidation,"Huifang XIAO, Zhe Zhou, Jiangtao Li, Shouye Yang",Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c06631,Huifang XIAO; Zhe Zhou; Jiangtao Li; Shouye Yang,https://openalex.org/W4417251387
Unveiling Molecular Constraints on the Formation and Fate of Organoiodine Compounds under Aquifer Conditions,"Jiangkai Xue, Yamin Deng, Qing‐Long Fu, ... , Yanxin Wang (n=6)",Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c05558,Jiangkai Xue; Yamin Deng; Qing‐Long Fu; Yao Du; Jianbo Shi; Yanxin Wang,https://openalex.org/W4413318176
Toward the Chemogeography of Dissolved Organic Matter in the Global Ocean,"Jianjun Wang, Ang Hu, Yifan Cui, ... , Nianzhi Jiao (n=9)",Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c02477,Jianjun Wang; Ang Hu; Yifan Cui; Sarah K. Bercovici; Xiancai Lu; Jay T. Lennon; Janne Soininen; Yongqin Liu; Nianzhi Jiao,https://openalex.org/W4415375144
Ferrous Oxidation-Driven Adsorptive and Oxidative Transformation Boosts Electron Exchange Capacity of Dissolved Organic Matter: Environmental Implications,"Kai Liu, Jialin Chi, Liping Fang, ... , Fangbai Li (n=8)",Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c13400,Kai Liu; Jialin Chi; Liping Fang; Minwen Huang; Shiyin Wu; Xiangjun Meng; Thomas Borch; Fangbai Li,https://openalex.org/W4415936029
Prediction of Dissolved Organic Carbon Concentrations in Inland Waters Using Optical Proxies of Aromaticity,Kathleen R. Murphy,Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c05408,Kathleen R. Murphy,https://openalex.org/W4412743421
Size and Structure-Dependent Molecular Fingerprint Transformation of Microplastic-Derived Dissolved Organic Matter in Sunlit Seawater: Implication for Marine Carbon Cycles,"Yanjun Liu, Zhao Liang Chen, Zekun Zhang, ... , Ding He (n=11)",Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c04083,Yanjun Liu; Zhao Liang Chen; Zekun Zhang; Yuanbi Yi; Ruanhong Cai; Ming Ye; Mengyang Liu; Meng Yan; Kmy Leung; Tanveer M. Adyel; Ding He,https://openalex.org/W4413055235
Erosion-Driven Vertical Decoupling: Molecular Signatures of Dissolved Organic Matter and Microbial Coevolution in Subsoil Hotspots,"Yumei Peng, Zhongmin Fan, Zi Wang, ... , Xiang Wang (n=8)",Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c02856,Yumei Peng; Zhongmin Fan; Zi Wang; Ziyun Zhang; Yuxin Yan; Jia Shi; Chunpeng Huo; Xiang Wang,https://openalex.org/W4412568907
MoleTrans: Browser-Based Webtool for Postanalysis on Molecular Chemodiversity and Transformation of Dissolved Organic Matters via FT-ICR MS,"Jibao Liu, Bei Zhang, Qing‐Long Fu, ... , Manabu Fujii (n=11)",Environmental Science & Technology Letters,https://doi.org/10.1021/acs.estlett.5c00284,Jibao Liu; Bei Zhang; Qing‐Long Fu; Toshihiro Isobe; Rongjun Gao; Yuansong Wei; Eunsang Kwon; Zhineng Hao; Wei An; Qi Rong; Manabu Fujii,https://openalex.org/W4410230930
Improvementof Electrospray Ionization Response Linearityand Quantification in Dissolved Organic Matter Using Synthetic DeuteratedInternal Standards,"Alexander
J. Craig (1688206), Mustapha A. Ganiyu (22108684), Lindon W. K. Moodie (5052386), ... , Jeffrey A. Hawkes (6947765) (n=8)",Figshare,https://doi.org/10.1021/acs.analchem.5c02463.s001,"Alexander
J. Craig (1688206); Mustapha A. Ganiyu (22108684); Lindon W. K. Moodie (5052386); Sofja Tshepelevitsh (1359102); Koit Herodes (2554387); Heike Simon (1995562); Thorsten Dittmar (107585); Jeffrey A. Hawkes (6947765)",https://openalex.org/W7111340425
Improvementof Electrospray Ionization Response Linearityand Quantification in Dissolved Organic Matter Using Synthetic DeuteratedInternal Standards,"Alexander
J. Craig (1688206), Mustapha A. Ganiyu (22108684), Lindon W. K. Moodie (5052386), ... , Jeffrey A. Hawkes (6947765) (n=8)",Figshare,https://doi.org/10.1021/acs.analchem.5c02463.s002,"Alexander
J. Craig (1688206); Mustapha A. Ganiyu (22108684); Lindon W. K. Moodie (5052386); Sofja Tshepelevitsh (1359102); Koit Herodes (2554387); Heike Simon (1995562); Thorsten Dittmar (107585); Jeffrey A. Hawkes (6947765)",https://openalex.org/W7111201281
Scale Formationfrom Dissolved Organic Matter in SAGDSteam GeneratorsPart I: Acidic Species Characterized by FTICR-MS,"Ali Naderi (24416), Thomas B. P. Oldenburg (21590479)",Figshare,https://doi.org/10.1021/acs.energyfuels.5c01778.s001,Ali Naderi (24416); Thomas B. P. Oldenburg (21590479),https://openalex.org/W7110901150
"Iron- and Manganese-CatalyzedMaillard Chemistry:Molecular Characteristics, Evolution Pathways, and Implications forSoil Organic Carbon Formation","Bo Chen (32294), Wenfeng Huang (230882), Wenbo Guo (5872787), ... , Ling Zhao (111365) (n=9)",Figshare,https://doi.org/10.1021/acs.est.5c06722.s001,Bo Chen (32294); Wenfeng Huang (230882); Wenbo Guo (5872787); Han Dai (72647); Jiahao Quan (22451245); Zehong Zhang (17144562); Xiaoyun Xu (781726); Xinde Cao (677765); Ling Zhao (111365),https://openalex.org/W7110843612
Salinity StressModulates the Dynamic Co-occurrenceInteractions between DOM and Microbial Community Profiles in a TypicalRiver–Estuary–Ocean Continuum: From the Pearl Riverto South China Sea,"Chao Zhang (51048), Yingqiang Li (10865235), Junyu Zhu (3185592), ... , Mingzhi Huang (702817) (n=15)",Figshare,https://doi.org/10.1021/acsestwater.4c00832.s001,Chao Zhang (51048); Yingqiang Li (10865235); Junyu Zhu (3185592); Zhe Zhang (81603); Yue Xie (132878); Shuna Fu (689510); Wanbing Zheng (20993307); Zihan Shen (5871596); Bangxing Ren (20519117); Zhenguo Chen (474804); Haijun He (503616); Guang-Guo Ying (1592698); Harald Horn (1734085); Amy M. McKenna (1286787); Mingzhi Huang (702817),https://openalex.org/W7111229703
Revealing the Role of Biochar-Derived Dissolved OrganicMatter during the Degradation of Sulfamethoxazole by Zero-Valent Iron-ActivatedPersulfate,"Chunhui Zhang (337556), Jing Ji (464622), Huijie Hu (7599182), ... , Hongwen Sun (1421434) (n=8)",Figshare,https://doi.org/10.1021/acsestwater.5c00603.s001,Chunhui Zhang (337556); Jing Ji (464622); Huijie Hu (7599182); Fuyu Li (6816020); Ruomeng Li (6667337); Peng Zhang (2071); Cuiping Wang (401082); Hongwen Sun (1421434),https://openalex.org/W7111344139
ManganeseOxidesDrive Divergent Fates of Litter-DerivedDOM via pH-Regulated Oxidative Decomposition and Polymerization,"Feng Jiang (95012), Hong Su (415707), Qing-long Fu (18181995), ... , Xionghan Feng (1406815) (n=9)",Figshare,https://doi.org/10.1021/acs.est.5c08244.s001,Feng Jiang (95012); Hong Su (415707); Qing-long Fu (18181995); Zi Yang (276531); Xiaoming Wang (187053); Hui Yin (111676); Wenfeng Tan (2280328); Bruno Lanson (1648810); Xionghan Feng (1406815),https://openalex.org/W7111156587
Evaluating the ChemicalReactivity of Wildfire-DerivedDissolved Organic Molecules: Glutathione Binding through KendrickMass Defect Analysis,"Hannah
M. Hamontree (21353480), Patrick G. Hatcher (1271967)",Figshare,https://doi.org/10.1021/jasms.5c00077.s002,"Hannah
M. Hamontree (21353480); Patrick G. Hatcher (1271967)",https://openalex.org/W7111318547
Evaluating the ChemicalReactivity of Wildfire-DerivedDissolved Organic Molecules: Glutathione Binding through KendrickMass Defect Analysis,"Hannah
M. Hamontree (21353480), Patrick G. Hatcher (1271967)",Figshare,https://doi.org/10.1021/jasms.5c00077.s001,"Hannah
M. Hamontree (21353480); Patrick G. Hatcher (1271967)",https://openalex.org/W7110786321
MolecularAlteration of Dissolved Organic Matter inIntertidal Sediments: The Role of Fe(II) Reoxidation,"Heng Xiao (489521), Zhe Zhou (156517), Jiangtao Li (762969), Shouye Yang (6963380)",Figshare,https://doi.org/10.1021/acs.est.5c06631.s001,Heng Xiao (489521); Zhe Zhou (156517); Jiangtao Li (762969); Shouye Yang (6963380),https://openalex.org/W7115008254
Synergistic Photochemistryof Dissolved Black CarbonMediated by Iron: A Critical Pathway for Enhancing Hydroxyl RadicalGeneration,"Huanxin Ma (8713296), Yalan Chen (1590334), Yue Wang (65477), ... , Ke Sun (542534) (n=7)",Figshare,https://doi.org/10.1021/acs.est.5c10858.s001,Huanxin Ma (8713296); Yalan Chen (1590334); Yue Wang (65477); Chunhua Feng (2334277); Zhi Dang (683027); Shishu Zhu (4475128); Ke Sun (542534),https://openalex.org/W7111005584
Heteroatomsin Dissolved Organic Matter: Their Rolein Adsorption and Dynamic Assembly on Activated Carbon,"Jian Liu (33711), Shaohua Chen (114324), Ying Xu (9172), ... , Jianzhi Huang (1641835) (n=7)",Figshare,https://doi.org/10.1021/acsestwater.5c00409.s001,Jian Liu (33711); Shaohua Chen (114324); Ying Xu (9172); Mengyi Shi (18841028); Kai Zhang (102844); Othman Al-Mashaqbeh (21519220); Jianzhi Huang (1641835),https://openalex.org/W7111285369
Unveiling MolecularConstraints on the Formation andFate of Organoiodine Compounds under Aquifer Conditions,"Jiangkai Xue (18181992), Yamin Deng (3104127), Qing-long Fu (18181995), ... , Yanxin Wang (738113) (n=6)",Figshare,https://doi.org/10.1021/acs.est.5c05558.s001,Jiangkai Xue (18181992); Yamin Deng (3104127); Qing-long Fu (18181995); Yao Du (1669807); Jianbo Shi (448177); Yanxin Wang (738113),https://openalex.org/W7110951967
Toward the Chemogeographyof Dissolved Organic Matterin the Global Ocean,"Jianjun Wang (67330), Ang Hu (6533882), Yifan Cui (7159184), ... , Nianzhi Jiao (138252) (n=9)",Figshare,https://doi.org/10.1021/acs.est.5c02477.s001,Jianjun Wang (67330); Ang Hu (6533882); Yifan Cui (7159184); Sarah Bercovici (22465003); Xiancai Lu (1274142); Jay Lennon (781593); Janne Soininen (136179); Yongqin Liu (544525); Nianzhi Jiao (138252),https://openalex.org/W7111106360
MoleTrans: Browser-Based Webtool for Postanalysison Molecular Chemodiversity and Transformation of Dissolved OrganicMatters via FT-ICR MS,"Jibao Liu (17671515), Bei Zhang (428038), Qing-Long Fu (4722930), ... , Manabu Fujii (1666423) (n=11)",Figshare,https://doi.org/10.1021/acs.estlett.5c00284.s001,Jibao Liu (17671515); Bei Zhang (428038); Qing-Long Fu (4722930); Toshihiro Isobe (1932904); Rongjun Gao (17004253); Yuansong Wei (635582); Eunsang Kwon (1632397); Zhineng Hao (1832776); Wei An (760187); Rong Qi (1647328); Manabu Fujii (1666423),https://openalex.org/W7111152837
