year,title,authors_short,all_authors,journal,doi,openalex_id
2006,Metabolic phenotyping and marker metabolite identification using Fourier transform ion cyclotron reso-nance mass spectrometry,Daisaku Ohta,Daisaku Ohta,Journal of Pesticide Science,https://doi.org/10.1584/jpestics.31.489,https://openalex.org/W2333916977
2006,Application of a linear ion trap/orbitrap mass spectrometer in metabolite characterization studies: Examination of the human liver microsomal metabolism of the non-tricyclic anti-depressant nefazodone using data-dependent accurate mass measurements,"Scott Peterman, Nicholas Duczak, Amit S. Kalgutkar et al. (n=5)",Scott Peterman; Nicholas Duczak; Amit S. Kalgutkar; Mary E. Lame; John R. Soglia,Journal of the American Society for Mass Spectrometry,https://doi.org/10.1016/j.jasms.2005.11.014,https://openalex.org/W2092101826
2007,"Mass Spectrometry in Bioanalysis – Methods, Principles and Instrumentation",Gérard Hopfgartner,Gérard Hopfgartner,Methods and principles in medicinal chemistry,https://doi.org/10.1002/9783527610907.ch1,https://openalex.org/W1548902362
2007,Metabolite identification by data‐dependent accurate mass spectrometric analysis at resolving power of 60 000 in external calibration mode using an LTQ/Orbitrap,"Heng‐Keang Lim, Jie Chen, Carlo Sensenhauser et al. (n=5)",Heng‐Keang Lim; Jie Chen; Carlo Sensenhauser; Kevin Cook; Vangala Subrahmanyam,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.3024,https://openalex.org/W2088218513
2008,Use of the bromine isotope ratio in HPLC-ICP-MS and HPLC-ESI-MS analysis of a new drug in development,"Filip Cuyckens, Lieve Balcaen, Kenny De Wolf et al. (n=7)",Filip Cuyckens; Lieve Balcaen; Kenny De Wolf; Björn De Samber; Cis Van Looveren; Rob Hurkmans; Frank Vanhaecke,Analytical and Bioanalytical Chemistry,https://doi.org/10.1007/s00216-007-1761-6,https://openalex.org/W1976201099
2008,High-Resolution Mass Spectrometers,"Alan G. Marshall, Christopher L. Hendrickson",Alan G. Marshall; Christopher L. Hendrickson,Annual Review of Analytical Chemistry,https://doi.org/10.1146/annurev.anchem.1.031207.112945,https://openalex.org/W2085010866
2008,Recent advances in applications of liquid chromatography–tandem mass spectrometry to the analysis of reactive drug metabolites,"Shuguang Ma, Mingshe Zhu",Shuguang Ma; Mingshe Zhu,Chemico-Biological Interactions,https://doi.org/10.1016/j.cbi.2008.09.014,https://openalex.org/W2034953536
2008,Liquid chromatography–mass spectrometry in in vitro drug metabolite screening,"Ari Tolonen, Miia Turpeinen, Olavi Pelkonen",Ari Tolonen; Miia Turpeinen; Olavi Pelkonen,Drug Discovery Today,https://doi.org/10.1016/j.drudis.2008.11.002,https://openalex.org/W2111900515
2008,Structural characterization of <i>in vitro</i> rat liver microsomal metabolites of antihistamine desloratadine using LTQ‐Orbitrap hybrid mass spectrometer in combination with online hydrogen/deuterium exchange HR‐LC/MS,"Guodong Chen, Ibrahim Daaro, Birendra N. Pramanik et al. (n=4)",Guodong Chen; Ibrahim Daaro; Birendra N. Pramanik; John J. Piwinski,Journal of Mass Spectrometry,https://doi.org/10.1002/jms.1498,https://openalex.org/W2159594109
2008,A tool for high-throughput prediction of molecular formulas and identification of isotopic peaks from large-scale mass spectrometry data,"Yukiko Nakamura, Shigehiko Kanaya, Nozomu Sakurai et al. (n=9)",Yukiko Nakamura; Shigehiko Kanaya; Nozomu Sakurai; Yoko Iijima; Koh Aoki; Koei Okazaki; Hideyuki Suzuki; Masahiko Kitayama; Daisuke Shibata,Plant Biotechnology,https://doi.org/10.5511/plantbiotechnology.25.377,https://openalex.org/W2000473409
2008,High‐throughput approaches towards the definitive identification of pharmaceutical drug metabolites. 1. Evidence for an <i>ortho</i> effect on the fragmentation of 4‐benzenesulfinyl‐3‐methylphenylamine using electrospray ionisation mass spectrometry,"Stephen W. Holman, Patricia A. Wright, G. John Langley",Stephen W. Holman; Patricia A. Wright; G. John Langley,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.3623,https://openalex.org/W2113406146
2008,Rapid metabolite identification with sub parts‐per‐million mass accuracy from biological matrices by direct infusion nanoelectrospray ionization after clean‐up on a ZipTip and LTQ/Orbitrap mass spectrometry,"John C. L. Erve, William DeMaio, Rasmy Talaat",John C. L. Erve; William DeMaio; Rasmy Talaat,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.3702,https://openalex.org/W2107391934
2009,Differential <sup>12</sup>C-/<sup>13</sup>C-Isotope Dansylation Labeling and Fast Liquid Chromatography/Mass Spectrometry for Absolute and Relative Quantification of the Metabolome,"Kevin Guo, Liang Li",Kevin Guo; Liang Li,Analytical Chemistry,https://doi.org/10.1021/ac900166a,https://openalex.org/W2009863844
2009,Advances in Bioanalytical LC–MS Using the Orbitrap™ Mass Analyzer,"Michaela Ščigelová, Alexander Makarov",Michaela Ščigelová; Alexander Makarov,Bioanalysis,https://doi.org/10.4155/bio.09.65,https://openalex.org/W1980049378
2009,Quantitative-qualitative data acquisition using a benchtop orbitrap mass spectrometer,"Kevin P. Bateman, Markus Kellmann, Helmut Muenster et al. (n=5)",Kevin P. Bateman; Markus Kellmann; Helmut Muenster; Robert Papp; L. Taylor,Journal of the American Society for Mass Spectrometry,https://doi.org/10.1016/j.jasms.2009.03.002,https://openalex.org/W2025092292
2009,Gas-phase ion-molecule reactions and laser -induced acoustic desorption mass spectrometry for complex mixture analysis and structural elucidation,Steven C. Habicht,Steven C. Habicht,Purdue e-Pubs (Purdue University System),,https://openalex.org/W1599350394
2009,High‐throughput approaches towards the definitive identification of pharmaceutical drug metabolites. 2. An example of how unexpected dissociation behaviour could preclude correct assignment of sites of metabolism,"Stephen W. Holman, Patricia A. Wright, G. John Langley",Stephen W. Holman; Patricia A. Wright; G. John Langley,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.4103,https://openalex.org/W2167409762
2009,A mass spectrometry based imaging method developed for the intracellular detection of HIV protease inhibitors,"Lennard J. M. Dekker, Jeroen J. A. van Kampen, Mariska L. Reedijk et al. (n=7)",Lennard J. M. Dekker; Jeroen J. A. van Kampen; Mariska L. Reedijk; Peter C. Burgers; Rob A. Gruters; Albert D. M. E. Osterhaus; Theo M. Luider,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.3981,https://openalex.org/W2069705202
2009,Two‐injection workflow for a liquid chromatography/LTQ‐Orbitrap system to complete <i>in vivo</i> biotransformation characterization: demonstration with buspirone metabolite identification,"Austin C. Li, Jie Ding, Xiangyu Jiang et al. (n=4)",Austin C. Li; Jie Ding; Xiangyu Jiang; Jon F. Denissen,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.4207,https://openalex.org/W2104867744
2009,Metabolite identification in rat brain microdialysates by direct infusion nanoelectrospray ionization after desalting on a ZipTip and LTQ/Orbitrap mass spectrometry,"John C. L. Erve, Chad E. Beyer, Lawrence Manzino et al. (n=4)",John C. L. Erve; Chad E. Beyer; Lawrence Manzino; Rasmy Talaat,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.4341,https://openalex.org/W2002369723
2010,Electrospray and MALDI Mass Spectrometry,,,,https://doi.org/10.1002/9780470588901,https://openalex.org/W644928557
2010,Mass Spectrometry for Food Analysis: The Example of Fat Soluble Vitamins A and K,Gregory G. Dolnikowski,Gregory G. Dolnikowski,,https://doi.org/10.1039/9781849730921-00051,https://openalex.org/W2345618321
2010,Mass Spectrometry Technologies,"Laurent B. Fay, Martin Kussmann",Laurent B. Fay; Martin Kussmann,,https://doi.org/10.1039/9781849730921-00003,https://openalex.org/W2341101610
2010,Nanoscale Ion-Pair Reversed-Phase HPLC−MS for Sensitive Metabolome Analysis,"Patrick Kiefer, Nathanaël Delmotte, Julia A. Vorholt",Patrick Kiefer; Nathanaël Delmotte; Julia A. Vorholt,Analytical Chemistry,https://doi.org/10.1021/ac102445r,https://openalex.org/W2312520110
2010,Application of Fourier-transform ion cyclotron resonance mass spectrometry to metabolic profiling and metabolite identification,"Daisaku Ohta, Shigehiko Kanaya, Hideyuki Suzuki",Daisaku Ohta; Shigehiko Kanaya; Hideyuki Suzuki,Current Opinion in Biotechnology,https://doi.org/10.1016/j.copbio.2010.01.012,https://openalex.org/W1978055906
2010,Development of Novel Tandem Mass Spectrometric Strategies towards LC/FT-ICR MS-Based Structural Determination in Metabolomics and Peptidomic Analysis.,Hyun Ju Yoo,Hyun Ju Yoo,Deep Blue (University of Michigan),,https://openalex.org/W4389361859
2010,The use of <i>in vitro</i> technologies coupled with high resolution accurate mass LC‐MS for studying drug metabolism in equine drug surveillance,"James Scarth, Holly A. Spencer, Sarah E. Timbers et al. (n=5)",James Scarth; Holly A. Spencer; Sarah E. Timbers; Simon Hudson; Lynn Hillyer,Drug Testing and Analysis,https://doi.org/10.1002/dta.88,https://openalex.org/W1968507060
2010,Detecting low-level synthesis impurities in modified phosphorothioate oligonucleotides using liquid chromatography–high resolution mass spectrometry,"Irena Nikčević, Tadeusz K. Wyrzykiewicz, Patrick A. Limbach",Irena Nikčević; Tadeusz K. Wyrzykiewicz; Patrick A. Limbach,International Journal of Mass Spectrometry,https://doi.org/10.1016/j.ijms.2010.06.001,https://openalex.org/W1985679183
2010,Prerequisites for supplying complementary high‐resolution mass spectrometry data in RCM publications,Dietrich A. Volmer,Dietrich A. Volmer,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.4802,https://openalex.org/W1966904897
2010,Identification of NTBC metabolites in urine from patients with hereditary tyrosinemia type 1 using two different mass spectrometric platforms: triple stage quadrupole and LTQ‐Orbitrap,"Diran Herebıan, Marc Lamshöft, Ertan Mayatepek et al. (n=4)",Diran Herebıan; Marc Lamshöft; Ertan Mayatepek; Ute Spiekerkoetter,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.4451,https://openalex.org/W2127534317
2010,"Comparative in vitro metabolism of the ‘designer’ steroid estra-4,9-diene-3,17-dione between the equine, canine and human: Identification of target metabolites for use in sports doping control","James Scarth, Adam Clarke, Philip Teale et al. (n=4)",James Scarth; Adam Clarke; Philip Teale; Clive M. Pearce,Steroids,https://doi.org/10.1016/j.steroids.2010.03.010,https://openalex.org/W2070584004
2011,Characterization of Isotopic Abundance Measurements in High Resolution FT-ICR and Orbitrap Mass Spectra for Improved Confidence of Metabolite Identification,"Ralf J. M. Weber, Andrew D. Southam, Ulf Sommer et al. (n=4)",Ralf J. M. Weber; Andrew D. Southam; Ulf Sommer; Mark R. Viant,Analytical Chemistry,https://doi.org/10.1021/ac2001803,https://openalex.org/W2316578031
2011,Proteomic Characterization of An Isogenic Multiple Myeloma Cell Line Model of Bortezomib Resistance,"Catriona A. Hayes, Paul Dowling, Joseph Negri et al. (n=18)",Catriona A. Hayes; Paul Dowling; Joseph Negri; Michael Henry; Leutz Buon; Jana Jakubı́ková; Jake Delmore; Douglas W. McMillin; Steffen Klippel; Hannah M. Jacobs; Niels W.C.J. van de Donk; Eugen Dhimolea; Panisinee Lawasut; Paul G. Richardson; Kenneth C. Anderson; Martin Clynes; Peter O’ Gorman; C Mitsiades,Blood,https://doi.org/10.1182/blood.v118.21.1820.1820,https://openalex.org/W2490939177
2011,Imaging and Identification of Phospholipids in Mouse Liver Tissue by Matrix-Assisted Laser Desorption Ionization-Fourier Transform Ion Cyclotron Resonance Mass Spectrometry,"Hui Liu, Guoqiang Chen, Yanying Wang et al. (n=4)",Hui Liu; Guoqiang Chen; Yanying Wang; Zhili Li,Chinese Journal of Analytical Chemistry,https://doi.org/10.1016/s1872-2040(10)60409-4,https://openalex.org/W2068880737
2011,Imaging and Identification of Phospholipids in Mouse Liver Tissue by Matrix Assisted Laser Desorption Ionization-Fourier Transform Ion Cyclotron Resonance Mass Spectrometry Imaging,Chen Guo,Chen Guo,CHINESE JOURNAL OF ANALYTICAL CHEMISTRY (CHINESE VERSION),,https://openalex.org/W3147899525
2011,Recent Development in Liquid Chromatography/Mass Spectrometry and Emerging Technologies for Metabolite Identification,"Yan Liang, Guangji Wang, Lin Xie et al. (n=4)",Yan Liang; Guangji Wang; Lin Xie; Longsheng Sheng,Current Drug Metabolism,https://doi.org/10.2174/138920011795202910,https://openalex.org/W2050106873
2011,The use of in vitro technologies and high‐resolution/accurate‐mass LC‐MS to screen for metabolites of ‘designer’ steroids in the equine,"Adam Clarke, James Scarth, P. Teale et al. (n=5)",Adam Clarke; James Scarth; P. Teale; Clive M. Pearce; Lynn Hillyer,Drug Testing and Analysis,https://doi.org/10.1002/dta.250,https://openalex.org/W1977147802
2011,Metabolism of mequindox and its metabolites identification in chickens using LC–LTQ-Orbitrap mass spectrometry,"Qi Shan, Yiming Liu, Limin He et al. (n=8)",Qi Shan; Yiming Liu; Limin He; Huanzhong Ding; Xi Huang; Fan Yang; Yafei Li; Zhenling Zeng,Journal of Chromatography B,https://doi.org/10.1016/j.jchromb.2011.12.008,https://openalex.org/W2167901046
2011,Rapid identification of phase I and II metabolites of artemisinin antimalarials using LTQ‐Orbitrap hybrid mass spectrometer in combination with online hydrogen/deuterium exchange technique,"Tian Liu, Fuying Du, Yakun Wan et al. (n=5)",Tian Liu; Fuying Du; Yakun Wan; Fanping Zhu; Jie Xing,Journal of Mass Spectrometry,https://doi.org/10.1002/jms.1943,https://openalex.org/W2112399529
2011,Fourier Transform Ion Cyclotron Resonance Mass Spectrometry for Plant Metabolite Profiling and Metabolite Identification,"J. William Allwood, David A. Parker, Manfred Beckmann et al. (n=5)",J. William Allwood; David A. Parker; Manfred Beckmann; John Draper; Royston Goodacre,Methods in molecular biology,https://doi.org/10.1007/978-1-61779-594-7_11,https://openalex.org/W1598526988
2011,"Metabolomics of Different Tissues From the Norway Lobster, Nephrops norvegicus: A First Approach to Determine Biomarkers of Environmental Health in a Crustacean","Lauren E. Nadler, Amaya Albalat, RuAngelie Edrada‐Ebel et al. (n=4)",Lauren E. Nadler; Amaya Albalat; RuAngelie Edrada‐Ebel; Douglas M. Neil,NSUWorks (Nova Southeastern University),,https://openalex.org/W3048857691
2011,Metabolite identification of triptolide by data‐dependent accurate mass spectrometric analysis in combination with online hydrogen/deuterium exchange and multiple data‐mining techniques,"Fuying Du, Ting Liu, Tian Liu et al. (n=6)",Fuying Du; Ting Liu; Tian Liu; Yongwei Wang; Yakun Wan; Jie Xing,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.5211,https://openalex.org/W1958183074
2011,Metabolite identification of artemether by data‐dependent accurate mass spectrometric analysis using an LTQ‐Orbitrap hybrid mass spectrometer in combination with the online hydrogen/deuterium exchange technique,"Tian Liu, Fuying Du, Fanping Zhu et al. (n=4)",Tian Liu; Fuying Du; Fanping Zhu; Jie Xing,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.5214,https://openalex.org/W2108998859
2011,Differential 15N2-/14N2-isotope Dansylhydrazine Labeling and LC-MS for Quantification of the Human Carbonyl Metabolome,Margot Dawe,Margot Dawe,University of Alberta Library,https://doi.org/10.7939/r3gd70,https://openalex.org/W2796722886
2011,Increased confidence of metabolite identification in high-resolution mass spectra using prior biological and chemical knowledge-based approaches,Ralf Weber,Ralf Weber,University of Birmingham Institutional Research Archive (University of Birmingham),,https://openalex.org/W178290676
2012,Index,"Donglu Zhang, Sekhar Surapaneni",Donglu Zhang; Sekhar Surapaneni,,https://doi.org/10.1002/9781118180778.index,https://openalex.org/W4237738817
2012,Current applications of high-resolution mass spectrometry in drug metabolism studies,"Markus R. Meyer, Hans H. Maurer",Markus R. Meyer; Hans H. Maurer,Analytical and Bioanalytical Chemistry,https://doi.org/10.1007/s00216-012-5807-z,https://openalex.org/W2117210967
2012,Annotation of the Human Adult Urinary Metabolome and Metabolite Identification Using Ultra High Performance Liquid Chromatography Coupled to a Linear Quadrupole Ion Trap-Orbitrap Mass Spectrometer,"Aurélie Roux, Ying Xu, Jean-François Heilier et al. (n=7)",Aurélie Roux; Ying Xu; Jean-François Heilier; Marie‐Françoise Olivier; Éric Ezan; Jean‐Claude Tabet; Christophe Junot,Analytical Chemistry,https://doi.org/10.1021/ac300829f,https://openalex.org/W2044091012
2012,Cassette Incubation Followed By Bioanalysis Using High-Resolution Ms For <i>In Vitro</i> Adme Screening Assays,"Jun Zhang, Jennifer W. Maloney, Dieter M. Drexler et al. (n=9)",Jun Zhang; Jennifer W. Maloney; Dieter M. Drexler; Xianmei Cai; Jeremy Stewart; Chris Mayer; John J. Herbst; Harold N. Weller; Wilson Z. Shou,Bioanalysis,https://doi.org/10.4155/bio.12.2,https://openalex.org/W2015659116
2012,Separation and identification of moxifloxacin impurities in drug substance by high-performance liquid chromatography coupled with ultraviolet detection and Fourier transform ion cyclotron resonance mass spectrometry,"Cai Sheng Wu, Zhixin Jia, Bao Ming Ning et al. (n=5)",Cai Sheng Wu; Zhixin Jia; Bao Ming Ning; Jin Lan Zhang; Song Wu,Chinese Chemical Letters,https://doi.org/10.1016/j.cclet.2012.09.001,https://openalex.org/W1967286170
2012,Time-of-Flight Mass Spectrometry Versus Orbitrap-Based Mass Spectrometry for the Screening and Identification of Drugs and Metabolites,"Peter Eichhorn, Sandra Pérez, ‪Damià Barceló",Peter Eichhorn; Sandra Pérez; ‪Damià Barceló,Comprehensive analytical chemistry,https://doi.org/10.1016/b978-0-444-53810-9.00009-2,https://openalex.org/W12612244
2012,Metabolite Profiling and Characterization for Medicinal Herbal Remedies,"Min Yang, Chun‐Ru Cheng, Junling Yang et al. (n=4)",Min Yang; Chun‐Ru Cheng; Junling Yang; De‐an Guo,Current Drug Metabolism,https://doi.org/10.2174/1389200211209050535,https://openalex.org/W2168696643
2012,Hybrid Mass Analyzers in Drug Metabolism Applications,"Silvi A. Chacko, Ragu Ramanathan, W. Griffith Humphreys et al. (n=4)",Silvi A. Chacko; Ragu Ramanathan; W. Griffith Humphreys; Jonathan L. Josephs,Encyclopedia of Drug Metabolism and Interactions,https://doi.org/10.1002/9780470921920.edm097,https://openalex.org/W1581182484
2012,Identification and Counting of Oxygen Functionalities and Alkyl Groups of Aromatic Analytes in Mixtures by Positive-Mode Atmospheric Pressure Chemical Ionization Tandem Mass Spectrometry Coupled with High-Performance Liquid Chromatography,"Lucas M. Amundson, Vanessa A. Gallardo, Nelson R. Vinueza et al. (n=10)",Lucas M. Amundson; Vanessa A. Gallardo; Nelson R. Vinueza; Benjamin C. Owen; Jennifer N. Reece; Steven C. Habicht; Mingkun Fu; Ryan C. Shea; Allen B. Mossman; Hilkka I. Kenttämaa,Energy & Fuels,https://doi.org/10.1021/ef2019098,https://openalex.org/W2070599638
2012,645 EFFECTS OF DOWNSTREAM DRUG METABOLITES OF SPIRONOLACTONE ON AORTIC STIFFNESS AND AMBULATORY BLOOD PRESSURE,"Sonja B. Nikolic, Lindsay M. Edwards, Richard Wilson et al. (n=6)",Sonja B. Nikolic; Lindsay M. Edwards; Richard Wilson; James Hare; Thomas H. Marwick; James E. Sharman,Journal of Hypertension,https://doi.org/10.1097/01.hjh.0000420469.72769.75,https://openalex.org/W2083993146
2012,"MS<sup>M</sup>, an Efficient Workflow for Metabolite Identification Using Hybrid Linear Ion Trap Orbitrap Mass Spectrometer","Robert Cho, Yingying Huang, Jae C. Schwartz et al. (n=6)",Robert Cho; Yingying Huang; Jae C. Schwartz; Yan Chen; Timothy J. Carlson; Ji Ma,Journal of the American Society for Mass Spectrometry,https://doi.org/10.1007/s13361-012-0351-9,https://openalex.org/W2104980068
2012,High‐resolution isotope‐dilution mass spectrometry using metabolism of isotope‐labeled compounds: Application to drug metabolites,"Jim Vrbanac, Allen R. Hilgers, Tyson Dubnicka et al. (n=6)",Jim Vrbanac; Allen R. Hilgers; Tyson Dubnicka; Fiona Shilliday; David Humphries; Roger N. Hayes,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.6376,https://openalex.org/W1933169935
2012,Identification of imine or enamine drug metabolites using online hydrogen/deuterium exchange and exact mass measurements,"Austin C. Li, Erya Yu, Steven C. Ring et al. (n=4)",Austin C. Li; Erya Yu; Steven C. Ring; James P. Chovan,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.6178,https://openalex.org/W1930285476
2012,"Objetos prehispánicos legados en testamentos de indios (Gobernación de Tucumán, 1608 y 1619)",Margarita E. Gentile,Margarita E. Gentile,"Revista Aequitas: Estudios sobre historia, derecho e instituciones",https://doi.org/10.1016/j.chroma.2018.08.026,https://openalex.org/W30146372
2012,Update on hydrocodone metabolites in rats and dogs aided with a semi-automatic software for metabolite identification Mass-MetaSite,"Austin C. Li, James P. Chovan, Erya Yu et al. (n=4)",Austin C. Li; James P. Chovan; Erya Yu; Ismael Zamora,Xenobiotica,https://doi.org/10.3109/00498254.2012.715697,https://openalex.org/W2117191402
2013,Metabolomics in Practice,,,,https://doi.org/10.1002/9783527655861,https://openalex.org/W619336257
2013,Automatic Chemical Structure Annotation of an LC–MS<sup><i>n</i></sup> Based Metabolic Profile from Green Tea,"Lars Ridder, Justin J. J. van der Hooft, Stefan Verhoeven et al. (n=6)",Lars Ridder; Justin J. J. van der Hooft; Stefan Verhoeven; Ric C. H. de Vos; R.J. Bino; Jacques Vervoort,Analytical Chemistry,https://doi.org/10.1021/ac400861a,https://openalex.org/W2172009698
2013,Mass Spectrometry–Based Methodologies for Single-Cell Metabolite Detection and Identification,"Ann M. Knolhoff, Péter Nemes, Stanislav S. Rubakhin et al. (n=4)",Ann M. Knolhoff; Péter Nemes; Stanislav S. Rubakhin; Jonathan V. Sweedler,Cambridge University Press eBooks,https://doi.org/10.1017/cbo9780511996634.007,https://openalex.org/W2621505407
2013,Liquid chromatography–mass spectrometry in metabolomics research: Mass analyzers in ultra high pressure liquid chromatography coupling,"Sara Forcisi, Franco Moritz, Basem Kanawati et al. (n=6)",Sara Forcisi; Franco Moritz; Basem Kanawati; Dimitrios Tziotis; Rainer Lehmann; Philippe Schmitt‐Kopplin,Journal of Chromatography A,https://doi.org/10.1016/j.chroma.2013.04.017,https://openalex.org/W2078799412
2013,Extending the Dynamic Range of the Ion Trap by Differential Mobility Filtration,"Adam B. Hall, Stephen L. Coy, Amol Kafle et al. (n=6)",Adam B. Hall; Stephen L. Coy; Amol Kafle; James Glick; Erkinjon G. Nazarov; Paul Vouros,Journal of the American Society for Mass Spectrometry,https://doi.org/10.1007/s13361-013-0655-4,https://openalex.org/W2016557862
2013,Characterisation of the Metabolism of Pogostone <i>In Vitro</i> and <i>In Vivo</i> Using Liquid Chromatography with Mass Spectrometry,"Yucui Li, Ziren Su, Shuhai Lin et al. (n=11)",Yucui Li; Ziren Su; Shuhai Lin; Chuwen Li; Ya Zhao; Xiang Gao; Yongquan Lai; Xiaoli Wu; Hanzhi Wu; Zongwei Cai; Xiao‐Ping Lai,Phytochemical Analysis,https://doi.org/10.1002/pca.2471,https://openalex.org/W1900080874
2013,In situ label-free imaging for visualizing the biotransformation of a bioactive polyphenol,"Yoon Hee Kim, Yoshinori Fujimura, Takatoki Hagihara et al. (n=13)",Yoon Hee Kim; Yoshinori Fujimura; Takatoki Hagihara; Masako Sasaki; Daichi Yukihira; Tatsuhiko Nagao; Daisuke Miura; Shinichi Yamaguchi; Kazunori Saito; Hiroshi Tanaka; Hiroyuki Wariishi; Koji Yamada; Hirofumi Tachibana,Scientific Reports,https://doi.org/10.1038/srep02805,https://openalex.org/W1977958783
2014,"High-resolution MS: software, data processing and data management",Joanna E. Barbara,Joanna E. Barbara,,https://doi.org/10.4155/ebo.13.406,https://openalex.org/W2989981166
2014,Distribution study of atorvastatin and its metabolites in rat tissues using combined information from UHPLC/MS and MALDI-Orbitrap-MS imaging,"Robert Jirásko, Michal Holčapek, Martin Kuneš et al. (n=4)",Robert Jirásko; Michal Holčapek; Martin Kuneš; Aleš Svatoš,Analytical and Bioanalytical Chemistry,https://doi.org/10.1007/s00216-014-7880-y,https://openalex.org/W2092360586
2014,Characterization and profiling of phenolic amides from Cortex Lycii by ultra-high performance liquid chromatography coupled with LTQ-Orbitrap mass spectrometry,"Jingxian Zhang, Shuhong Guan, Jianghao Sun et al. (n=10)",Jingxian Zhang; Shuhong Guan; Jianghao Sun; Tian Liu; Pei Chen; Ruihong Feng; Xin Chen; Wanying Wu; Min Yang; De‐an Guo,Analytical and Bioanalytical Chemistry,https://doi.org/10.1007/s00216-014-8296-4,https://openalex.org/W1974387632
2014,MIDAS: A Database-Searching Algorithm for Metabolite Identification in Metabolomics,"Yingfeng Wang, Guruprasad Kora, Benjamin P. Bowen et al. (n=4)",Yingfeng Wang; Guruprasad Kora; Benjamin P. Bowen; Chongle Pan,Analytical Chemistry,https://doi.org/10.1021/ac5014783,https://openalex.org/W2333394028
2014,Metabolomic profiling of clinical sputum samples reveals novel biomarkers for the early identification of lung cancer patients,"Simon J. S. Cameron, Keir Lewis, Manfred Beckmann et al. (n=7)",Simon J. S. Cameron; Keir Lewis; Manfred Beckmann; Gordon Allison; Robin Ghosal; Paul D. Lewis; Luis A. J. Mur,European Respiratory Journal,https://doi.org/10.1183/13993003/erj.44.suppl_58.p350,https://openalex.org/W1956711742
